Match_id,Team1,Team2,Venue,Toss_winner,Toss_decision,Winner,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11
1001375,Australia,New Zealand,Melbourne Cricket Ground,Australia,bat,Australia,MJ Guptill,L Ronchi,KS Williamson,LRPL Taylor,NT Broom,JDS Neesham,CJ Anderson,MJ Santner,AF Milne,TG Southee,TA Boult
1019973,New Zealand,Bangladesh,Hagley Oval,New Zealand,bat,New Zealand,DA Warner,AJ Finch,SPD Smith,MC Henriques,TM Head,GJ Maxwell,MS Wade,MA Starc,PJ Cummins,A Zampa,JR Hazlewood
1019975,New Zealand,Bangladesh,Saxton Oval,Bangladesh,field,New Zealand,Q de Kock,HM Amla,F du Plessis,AB de Villiers,DA Miller,JP Duminy,CH Morris,AL Phehlukwayo,K Rabada,M Morkel,Imran Tahir
1019977,New Zealand,Bangladesh,Saxton Oval,Bangladesh,bat,New Zealand,N Dickwella,MD Gunathilaka,BKG Mendis,LD Chandimal,AD Mathews,DM de Silva,DAS Gunaratne,NLTC Perera,RAS Lakmal,SL Malinga,N Pradeep
1020013,New Zealand,Australia,Eden Park,Australia,field,New Zealand,JM Bairstow,AD Hales,JE Root,EJG Morgan,BA Stokes,JC Buttler,MM Ali,AU Rashid,LE Plunkett,MA Wood,JT Ball
1020031,New Zealand,South Africa,Seddon Park,South Africa,field,South Africa,Azhar Ali,Fakhar Zaman,Babar Azam,Shoaib Malik,Mohammad Hafeez,Imad Wasim,Mohammad Amir,Junaid Khan,Hasan Ali,Shadab Khan,-
1020033,New Zealand,South Africa,Hagley Oval,South Africa,field,New Zealand,JJ Roy,SW Billings,JE Root,EJG Morgan,JC Buttler,BA Stokes,MM Ali,CR Woakes,ST Finn,LE Plunkett,AU Rashid
1020035,New Zealand,South Africa,Westpac Stadium,South Africa,bat,South Africa,KC Brathwaite,E Lewis,KOA Powell,SD Hope,JN Mohammed,JL Carter,JO Holder,CR Brathwaite,AR Nurse,ST Gabriel,D Bishoo
1020037,New Zealand,South Africa,Seddon Park,South Africa,bat,New Zealand,JJ Roy,AD Hales,JE Root,JC Buttler,EJG Morgan,BA Stokes,MM Ali,CR Woakes,LE Plunkett,AU Rashid,ST Finn
1020039,New Zealand,South Africa,Eden Park,South Africa,field,South Africa,JJ Roy,JM Vince,BM Duckett,JM Bairstow,BA Stokes,JC Buttler,MM Ali,CR Woakes,DJ Willey,JT Ball,AU Rashid
